Month, Year, Data, Bill
Jan, 2023, 1.1GB, 30.00
Feb, 2023, 1.2GB, 30.00
Mar, 2023, 3GB, 30.00
Apr, 2023, 2.3GB, 30.00
May, 2023, 1.8GB, 30.00
Jun, 2023, 1.6GB, 30.00
Jul, 2023, 4.7GB, 47.00
Aug, 2023, 5.9GB, 59.00
Sep, 2023, 1.8GB, 30.00
Oct, 2023, 1.6GB, 30.00
Nov, 2023, 3.7GB, 37.00
Dec, 2023, 2.9GB, 30.00
Jan, 2024, 1.5GB, 30.00
Feb, 2024, 2.2GB, 30.00
Mar, 2024, 3GB, 30.00
Apr, 2024, 2.3GB, 30.00
May, 2024, 1.8GB, 30.00
Jun, 2024, 1.6GB, 30.00
Jul, 2024, 2.7GB, 30.00
Aug, 2024, 0.9GB, 30.00
Sep, 2024, 1.8GB, 30.00
Oct, 2024, 1.6GB, 30.00
Nov, 2024, 1.7GB, 30.00
Dec, 2024, 2.9GB, 30.00
Jan, 2025, 1.5GB, 30.00
Feb, 2025, 2.2GB, 30.00
Mar, 2025, 5.9GB, 59.00
